real rider?;set;set;# out of (only for);Name;Name;color;color;model;model;year;more details;
No;HW Turbo;;2/5;Audi Rs 5 Coupe;;black;;Car;;2018;2020 set;
No;HW Turbo;;3/5;Range rover velar;;black;;SUV;;2018;2020 set;
No;HW Turbo;;4/5;95 Mazda Rx-7;;orange;;Car;;2017;2020 set;
No;HW Turbo;;5/5;Nissan skyline gt-r;;black;;Car;;2018;2020 set;
yes;HW Turbo;;5/5;Nissan skyline gt-r;;black;;Car;;2018;2020 set;super th
No;factory fresh;;1/10;2019 Audi R8 Spyder;;red;;sports car;;2019;2020 set;
No;factory fresh;;2/10;19 corvette Zr1 Convertible;;orange;;sports car;;2019;2020 set;
No;factory fresh;;2/10;19 corvette Zr1 Convertible;;blue;;sports car;;2019;2020 set;
No;factory fresh;;3/10;2019 Kia stinger gt;;blue;;Car;;2019;2020 set;
No;factory fresh;;5/10;corvette C7 Z06;;orange;;sports car;;2016;2020 set;
No;factory fresh;;7/10;16 Bugatti Chiron;;black;;Hyper car;;2018;2020 set;
No;factory fresh;;7/10;16 Bugatti Chiron;;zamac;;Hyper car;;2018;2020 set;
No;factory fresh;;8/10;BMW K 1300 R;;green and black;;Motorcycle;;2013;2020 set;
No;factory fresh;;9/10;Tesla Model 3;;blue;;Car;;2018;2020 set;
No;factory fresh;;9/10;Tesla Model 3;;grey;;Car;;2018;2020 set;
No;factory fresh;;10/10;84 Audi sport quattro;;red;;Car;;2018;2020 set;
yes;factory fresh;;10/10;84 Audi sport quattro;;red mettalic;;Car;;2018;2020 set;super th
No;HW Metro;;1/10;total disposal;;blue and yellow;;dump truck;;2019;2020 set;
No;HW Metro;;1/10;total disposal;;green and white;;dump truck;;2019;2020 set;
No;HW Metro;;2/10;road bandit;;red;;school bus;;2019;2020 set;
No;HW Metro;;2/10;road bandit;;yellow;;school bus;;2019;2020 set;
No;HW Metro;;4/10;HW Armored Truck;;chrome;;money truck;;1997;2020 set;
No;HW Metro;;4/10;HW Armored Truck;;red;;money truck;;1997;2020 set;
No;HW Metro;;5/10;Deora II;;blue;;Car;;2018;2020 set;
No;HW Metro;;6/10;diaper dragger;;pink;;baby car;;2018;2020 set;
No;HW Metro;;6/10;diaper dragger;;blue;;baby car;;2018;2020 set;
No;HW Metro;;7/10;Runway Res-Q;;neon yellow;;fire truck;;2018;2020 set;
No;HW Metro;;7/10;Runway Res-Q;;green;;fire truck;;2018;2020 set;
No;HW Metro;;8/10;The Haulinator;;green;;abschleppwagen;;2014;2020 set;
No;HW Metro;;9/10;Time Attaxi;;orange ;;taxi;;2015;2020 set;
No;HW Metro;;10/10;Mercedes-Benz Unimog 1300;;black;;truck;;2018;2020 set;th
No;Id chase car;;3/8;Time Attaxi;;orange;;taxi;;2018;2020 set;
No;Experimotors;;1/10;clip rod;;blsck,gold,blue;;car which holds money;;2019;2020 set;
No;Experimotors;;1/10;clip rod;;black,red,gold;;car which holds money;;2019;2020 set;
No;Experimotors;;2/10;Rockin' Santa Sled;;gold, green;;santa sled;;2019;2020 set;
No;Experimotors;;2/10;Rockin' Santa Sled;;chrome, gold;;santa sled;;2019;2020 set;
No;Experimotors;;3/10;speed driver;;yellow;;screw car;;2019;2020 set;
No;Experimotors;;3/10;speed driver;;red;;screw car;;2019;2020 set;
No;Experimotors;;4/10;tooligan;;green;;screw car;;2009;2020 set;
No;Experimotors;;5/10;el viento;;green brown;;Car;;2016;2020 set;
No;Experimotors;;6/10;gotta go;;blue;;toilet car;;2016;2020 set;
No;Experimotors;;7/10;Heavy Hitcher;;chrome;;abschleppwagen;;2018;2020 set;
No;Experimotors;;7/10;Heavy Hitcher;;blue;;abschleppwagen;;2018;2020 set;
No;Experimotors;;8/10;slide kick;;red;;Car;;2018;2020 set;
No;Experimotors;;8/10;slide kick;;purple;;Car;;2018;2020 set;
No;Experimotors;;9/10;The Embosser;;yellow and orange;;abschleppwagen;;2016;2020 set;
No;Experimotors;;10/10;bubble matic;;red;;bubble car;;2017;2020 set;th
No;Hw Race Day;;1/10;Formula Gen 2 Car;;purple;;formula e car;;2019;2020 set;
No;Hw Race Day;;1/10;Formula Gen 2 Car;;black;;formula e car;;2019;2020 set;
